Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
25.7892226,87.5190262,PURNEA JN,PRNA,KIR,BIHAR,A
25.6189135,88.1289862,RAIGANJ,RGJ,KIR,BIHAR,A
21.2080656,81.3754392,BHILAI POWER HOUSE,BPHB,R,CHHATTISGARH,A
22.034544,82.664977,CHAMPA JN.,CPH,BSP,CHHATTISGARH,A
21.1904494,81.2849169,DURG,DURG,R,CHHATTISGARH,A
21.8913276,83.3905936,RAIGARH,RIG,BSP,CHHATTISGARH,A
21.1006906,81.0385899,RAJNANDGAON,RJN,NGP,CHHATTISGARH,A
28.7164986,77.1705052,ADARSHNAGARDELHI,ANDI,DLI,DELHI,A
28.6119222,77.1156424,DELHI CANTT.,DEC,DLI,DELHI,A
28.6628569,77.185494,DELHI SARAI ROHILLA,DEE,DLI,DELHI,A
28.6730561,77.2922813,DELHI SHAHADRA,DSA,DLI,DELHI,A
15.3963801,73.8122687,VASCO-DA-GAMA,VSG,UBL,GOA,A
22.5645175,72.928871,ANAND,ANND,VADODARA,GUJARAT,A
21.6255803,73.001253,ANKLESHWAR,AKV,VADODARA,GUJARAT,A
21.730961,73.0124856,BHARUCH,BH,VADODARA,GUJARAT,A
21.7697755,72.1366149,BHAVNAGAR TERMINUS,BVC,BHAVNAGAR,GUJARAT,A
23.0684465,70.1476613,GANDHIDHAM,GIM,AHMEDABAD,GUJARAT,A
22.4929933,70.0534734,JAMNAGAR,JAM,RAJKOT,GUJARAT,A
23.6024932,72.3889221,MAHESANA,MSH,AHMEDABAD,GUJARAT,A
22.694942,72.8561568,NADIAD,ND,VADODARA,GUJARAT,A
20.929628,72.94469,NAVSARI,NVS,MUMBAI CENTRAL,GUJARAT,A
23.2659531,69.6784273,NEW BHUJ,NBVJ,AHMEDABAD,GUJARAT,A
24.1749018,72.4307641,PALANPUR,PNU,AHMEDABAD,GUJARAT,A
22.7447981,71.6306234,SURENDRANAGAR,SUNR,RAJKOT,GUJARAT,A
21.1705123,72.8510335,UDHANA,UDN,MUMBAI CENTRAL,GUJARAT,A
20.6078591,72.933553,VALSAD,BL,MUMBAI CENTRAL,GUJARAT,A
20.3893155,72.9106202,VAPI,VAPI,MUMBAI CENTRAL,GUJARAT,A
20.9115176,70.3708703,VERAVAL,VRL,BHAVNAGAR,GUJARAT,A
23.1378676,72.0424503,VIRAMGAM,VG,AHMEDABAD,GUJARAT,A
28.3405314,77.3125191,BALLABGARH,BVH,DLI,HARYANA,A
28.410739,77.3073798,FARIDABAD,FDB,DLI,HARYANA,A
28.4888103,77.0108016,GURGAON,GGN,DLI,HARYANA,A
30.1173215,77.2877016,JAGADHRI,JUD,UMB,HARYANA,A
30.8392232,76.9316316,KALKA,KLK,UMB,HARYANA,A
29.694786,76.9696753,KARNAL,KUN,DLI,HARYANA,A
29.3891542,76.963766,PANIPAT,PNP,DLI,HARYANA,A
28.8906738,76.5801218,ROHTAK,ROK,DLI,HARYANA,A
29.003296,77.0279021,SONIPAT,SNP,DLI,HARYANA,A
28.8002554,76.1240173,BHIWANI,BNW,BIKANER,HARYANA,A
29.1523063,75.7244288,HISAR,HSR,BIKANER,HARYANA,A
28.2032765,76.610583,REWARI,RE,JAIPUR,HARYANA,A
32.9262035,75.1542645,UDHAMPUR,UHP,FZR,JAMMU & KASHMIR,A
24.0331665,84.0743931,DALTONGANJ,DTO,DHN,JHARKHAND,A
23.8717293,86.1524866,GOMOH JN.,GMO,DHN,JHARKHAND,A
24.4348782,85.5291784,KODERMA,KQR,DHN,JHARKHAND,A
23.987568,86.0373974,PARASHNATH,PNME,DHN,JHARKHAND,A
24.5151087,86.6442712,JASIDIH ,JSME,ASN,JHARKHAND,A
24.2709756,86.6421576,MADHUPUR ,MDP,ASN,JHARKHAND,A
23.6580406,86.0840173,BOKARO SEEL CITY,BKSC,ADA,JHARKHAND,A
23.3094514,85.3088192,HATIA,HTE,RNC,JHARKHAND,A
23.349473,85.335656,RANCHI,RNC,RNC,JHARKHAND,A
17.3147387,76.8243431,GULBARGA,GR,SUR,KARNATAKA,A
16.1933432,77.3393105,RAICHUR                                           ,RC  ,GTL,KARNATAKA,A
16.7439161,77.1301315,YADGIR                                            ,YG  ,GTL,KARNATAKA,A
12.8615873,74.8435295,MANGALORE CENTRAL                  ,MAQ  ,PGT,KARNATAKA,A
12.8665983,74.8794099,MANGALORE JN                       ,MAJN ,PGT,KARNATAKA,A
12.9936898,77.5981422,BANGALORE CANTT.,BNC,SBC,KARNATAKA,A
12.9849029,78.1787091,BANGARPET,BWT ,SBC,KARNATAKA,A
15.8637777,74.5076011,BELGAUM,BGM,UBL,KARNATAKA,A
15.1454373,76.9221718,BELLARY,BAY,UBL,KARNATAKA,A
16.8080989,75.7175056,BIJAPUR ,BJP,UBL,KARNATAKA,A
14.4678953,75.9195134,DAVANGERE,DVG,MYS,KARNATAKA,A
15.4437714,75.0038576,DHARWAD,DWR,UBL,KARNATAKA,A
15.2865694,76.3872414,HOSPET,HPT,UBL,KARNATAKA,A
15.3480196,75.1606944,HUBLI,UBL,UBL,KARNATAKA,A
12.9177955,77.4841235,KENGERI,KGI,SBC,KARNATAKA,A
13.0005672,77.6746456,KRISHNARAJAPURAM,KJM,SBC,KARNATAKA,A
12.3166855,76.6453031,MYSORE,MYS,MYS,KARNATAKA,A
13.9434889,75.5838877,SHIMOGA TOWN,SMET,MYS,KARNATAKA,A
9.4836002,76.3222995,ALAPPUZHA                          ,ALLP ,TVC,KERALA,A
10.108486,76.356879,ALUVA                              ,AWY  ,TVC,KERALA,A
9.3182301,76.6084988,CHENGANNUR                         ,CNGR ,TVC,KERALA,A
9.9918222,76.2864782,ERNAKULAM TOWN                     ,ERN  ,TVC,KERALA,A
12.3199987,75.0847468,KANHANGAD                          ,KZE  ,PGT,KERALA,A
11.8715225,75.3682525,KANNUR                             ,CAN  ,PGT,KERALA,A
12.4913231,74.9876916,KASARGOD                           ,KGQ  ,PGT,KERALA,A
9.1824314,76.5125892,KAYANKULAM JN                      ,KYJ  ,TVC,KERALA,A
8.8859247,76.5951807,KOLLAM JN                          ,QLN  ,TVC,KERALA,A
9.594489,76.532174,KOTTAYAM                           ,KTYM ,TVC,KERALA,A
10.799284,76.6375373,PALAKKAD JN.                       ,PGT  ,PGT,KERALA,A
12.091403,75.1955761,PAYYANNUR                          ,PAY  ,PGT,KERALA,A
10.7592773,76.2714453,SHORANUR JN.                       ,SRR  ,PGT,KERALA,A
11.753359,75.49291,THALASSERY                         ,TLY  ,PGT,KERALA,A
10.9172053,75.9221883,TIRUR                              ,TIR  ,PGT,KERALA,A
9.3791594,76.575926,TIRUVALLA                          ,TRVL ,TVC,KERALA,A
11.5934514,75.5870709,VADAKARA                           ,BDJ  ,PGT,KERALA,A
21.8969258,77.906211,BETUL,BZU,NGP,MADHYA PRADESH,A
21.334808,76.199325,BURHANPUR,BAU,BSL,MADHYA PRADESH,A
21.826559,76.348596,KHANDWA,KNW,BSL,MADHYA PRADESH,A
24.204848,82.6425979,SINGRAULI,SGRL,DHN,MADHYA PRADESH,A
26.5007853,78.0036622,MORENA,MRA,JHS,MADHYA PRADESH,A
24.2122,78.18275,BINA,BINA,BPL,MADHYA PRADESH,A
23.8356344,79.4318065,DAMOH,DMO,JBP,MADHYA PRADESH,A
23.2219306,77.4393863,HABIBGANJ,HBJ,BPL,MADHYA PRADESH,A
22.7430323,77.732955,HOSHANGABAD,HBD,BPL,MADHYA PRADESH,A
22.6082196,77.7670225,ITARSI,ET,BPL,MADHYA PRADESH,A
23.8343156,80.4005699,KATNI,KTE,JBP,MADHYA PRADESH,A
24.256258,80.763775,MAIHAR,MYR,JBP,MADHYA PRADESH,A
22.7541312,78.3546661,PIPARIYA,PPI,JBP,MADHYA PRADESH,A
24.5372927,81.30418,REWA,REWA,JBP,MADHYA PRADESH,A
24.5691054,80.8287427,SATNA,STA,JBP,MADHYA PRADESH,A
23.8476118,78.7428384,SAUGOR,SGO,JBP,MADHYA PRADESH,A
23.5225711,77.8147935,VIDISHA,BHS,BPL,MADHYA PRADESH,A
22.7195687,75.8577258,INDORE,IND,RATLAM,MADHYA PRADESH,A
23.4557842,75.4128034,NAGDA,NAD,RATLAM,MADHYA PRADESH,A
23.3405576,75.0504837,RATLAM,RTM,RATLAM,MADHYA PRADESH,A
23.1782623,75.7792945,UJJAIN,UJN,RATLAM,MADHYA PRADESH,A
19.075276,74.721474,AHMEDNAGAR,ANG,SUR,MAHARASHTRA,A
20.7233388,77.0057059,AKOLA,AK,BSL,MAHARASHTRA,A
20.9307745,77.7579871,AMRAVATI,AMI,BSL,MAHARASHTRA,A
20.8576248,77.7318933,BADNERA,BD,BSL,MAHARASHTRA,A
19.8499304,79.3477916,BALLARSHAH,BPQ,NGP,MAHARASHTRA,A
21.0469912,75.7883817,BHUSAWAL,BSL,BSL,MAHARASHTRA,A
20.4637095,74.9988628,CHALISGAON,CSN,BSL,MAHARASHTRA,A
19.9488847,79.2955765,CHANDRAPUR,CD,NGP,MAHARASHTRA,A
18.4640056,74.5789146,DAUND,DD,SUR,MAHARASHTRA,A
21.0182435,75.5629677,JALGAON,JL,BSL,MAHARASHTRA,A
16.702671,74.237917,KOLHAPUR,KOP,PA,MAHARASHTRA,A
19.9034532,74.5035265,KOPARGAON,KPG,SUR,MAHARASHTRA,A
18.0918577,75.4175381,KURDUWADI,KWV,SUR,MAHARASHTRA,A
18.4299605,76.5557468,LATUR,LUR,SUR,MAHARASHTRA,A
18.7493892,73.4080759,LONAVALA,LNL,BB,MAHARASHTRA,A
20.249736,74.438126,MANMAD,MMR,BSL,MAHARASHTRA,A
16.8203641,74.6387623,MIRAJ,MRJ,PA,MAHARASHTRA,A
